year,state,girls_wrestling_participants
2018-19,Nevada,124
2018-19,New Hampshire,38
2018-19,New Jersey,477
2018-19,New Mexico,154
2018-19,New York,168
2018-19,North Carolina,0
2018-19,North Dakota,27
2018-19,Ohio,0
2018-19,Oklahoma,98
2018-19,Oregon,597
2018-19,Pennsylvania,0
2018-19,Rhode Island,32
2018-19,South Carolina,0
2018-19,South Dakota,36
2018-19,Tennessee,414
2018-19,Texas,4421
2018-19,Utah,124
2018-19,Vermont,9
2018-19,Virginia,232
2018-19,Washington,1864
2018-19,West Virginia,0
2018-19,Wisconsin,0
2018-19,Wyoming,22
2021-22,Alabama,78
2021-22,Alaska,270
2021-22,Arizona,863
2021-22,Arkansas,299
2021-22,California,5578
2021-22,Colorado,510
2021-22,Connecticut,160
2021-22,Delaware,55
2021-22,Dist. of Columbia,1
2021-22,Florida,1093
2021-22,Georgia,741
2021-22,Hawaii,560
2021-22,Idaho,390
2021-22,Illinois,1134
2021-22,Indiana,594
2021-22,Iowa,868
2021-22,Kansas,1443
2021-22,Kentucky,287
2021-22,Louisiana,3
2021-22,Maine,78
2021-22,Maryland,390
2021-22,Massachusetts,149
2021-22,Michigan,620
2021-22,Minnesota,275
2021-22,Mississippi,0
2021-22,Missouri,1897
2021-22,Montana,303
2021-22,Nebraska,746
2021-22,Nevada,193
2021-22,New Hampshire,45
2021-22,New Jersey,750
2021-22,New Mexico,393
2021-22,New York,107
2021-22,North Carolina,0
2021-22,North Dakota,137
2021-22,Ohio,15
2021-22,Oklahoma,637
2021-22,Oregon,939
2021-22,Pennsylvania,0
2021-22,Rhode Island,82
2021-22,South Carolina,0
2021-22,South Dakota,183
2021-22,Tennessee,679
2021-22,Texas,4836
2021-22,Utah,886
2021-22,Vermont,9
2021-22,Virginia,285
2021-22,Washington,1786
2021-22,West Virginia,0
2021-22,Wisconsin,261
2021-22,Wyoming,46
2022-23,Alabama,411
2022-23,Alaska,200
2022-23,Arizona,1302
2022-23,Arkansas,427
2022-23,California,6398
2022-23,Colorado,1033
2022-23,Connecticut,231
2022-23,Delaware,55
2022-23,Dist. of Columbia,1
2022-23,Florida,1547
2022-23,Georgia,1139
2022-23,Hawaii,547
2022-23,Idaho,499
2022-23,Illinois,2142
2022-23,Indiana,711
2022-23,Iowa,2083
2022-23,Kansas,1929
2022-23,Kentucky,378
2022-23,Louisiana,116
2022-23,Maine,93
2022-23,Maryland,544
2022-23,Massachusetts,260
2022-23,Michigan,874
2022-23,Minnesota,537
2022-23,Mississippi,70
2022-23,Missouri,2342
2022-23,Montana,459
2022-23,Nebraska,1277
2022-23,Nevada,366
2022-23,New Hampshire,82
2022-23,New Jersey,1144
2022-23,New Mexico,574
2022-23,New York,891
2022-23,North Carolina,821
2022-23,North Dakota,252
2022-23,Ohio,4380
2022-23,Oklahoma,913
2022-23,Oregon,889
2022-23,Pennsylvania,1080
2022-23,Rhode Island,80
2022-23,South Carolina,30
2022-23,South Dakota,309
2022-23,Tennessee,796
2022-23,Texas,5351
2022-23,Utah,1189
2022-23,Vermont,8
2022-23,Virginia,468
2022-23,Washington,2416
2022-23,West Virginia,0
2022-23,Wisconsin,98
2022-23,Wyoming,274
2023-24,Alabama,636
2023-24,Alaska,208
2023-24,Arizona,1522
2023-24,Arkansas,583
2023-24,California,7921
2023-24,Colorado,1114
2023-24,Connecticut,231
2023-24,Delaware,55
2023-24,Dist. of Columbia,24
2023-24,Florida,1778
2023-24,Georgia,1560
2023-24,Hawaii,542
2023-24,Idaho,715
2023-24,Illinois,2093
2023-24,Indiana,1207
2023-24,Iowa,2935
2023-24,Kansas,2366
